TRIP#,Date Collected,file name,plant ID,image height (px),image width (px),Leaf id,,Area pred (cm^2),Area real (px^2),Blade length (px),Tip length (px),patiole length (px),Width (px),Have holes?,Borders are damaged?,Obs
,,18_HEOBROMA_04,,3507,2550,1,,78.40516997,1083495,,,,,Y,N,MODERATE HOLES
,,18_HEOBROMA_04,,3507,2550,2,,64.86898135,896436,,,,,N,N,
,,18_HEOBROMA_05,,3507,2550,1,,92.83316273,1282878,,,,,Y,Y,MODERATE DAMAGE
,,18_HEOBROMA_05,,3507,2550,2,,55.36117995,765046,,,,,N,N,
,,19_SIPARUNA_001,,3507,2550,1,,19.87303442,274629,,,,,N,N,
,,19_SIPARUNA_001,,3507,2550,2,,18.23379075,251976,,,,,N,N,
,,19_SIPARUNA_001,,3507,2550,3,,22.95643055,317239,,,,,N,N,
,,19_SIPARUNA_001,,3507,2550,4,,21.17426955,292611,,,,,N,N,
,,19_SIPARUNA_001,,3507,2550,5,,12.87565729,177931,,,,,N,N,
,,19_SIPARUNA_001,,3507,2550,6,,20.84212245,288021,,,,,N,N,
,,19_SIPARUNA_001,,3507,2550,7,,21.99573665,303963,,,,,N,N,
,,19_SIPARUNA_001,,3507,2550,8,,21.53456595,297590,,,,,N,N,
,,19_SIPARUNA_001,,3507,2550,9,,15.3396244,211981,,,,,N,N,
,,19_SIPARUNA_001,,3507,2550,10,,21.97561968,303685,,,,,N,N,
,08-07,13_AMPHIRRHOX_001,,3507,2550,1,,28.17468593,389351,,,,,N,N,
,,13_AMPHIRRHOX_001,,3507,2550,2,,48.95920727,676576,,,,,N,N,
,,13_AMPHIRRHOX_001,,3507,2550,3,,73.86293164,1020725,,,,,N,N,
,,13_AMPHIRRHOX_002,,3507,2550,1,,57.06352433,788571,,,,,N,N,
,,13_AMPHIRRHOX_002,,3507,2550,2,,21.58196385,298245,,,,,Y,Y,MODERATE DAMAGE
,,13_AMPHIRRHOX_002,,3507,2550,3,,64.9933737,898155,,,,,N,N,
,,13_AMPHIRRHOX_002,,3507,2550,4,,92.37749163,1276581,,,,,N,N,
TRIP 6,07-21-17,240005_001,,3507,2550,1,,111.8764083,1546040,,,,,N,N,
,,240005_001,,3507,2550,2,,110.5365312,1527524,,,,,N,N,
,,240005_002,,3507,2550,1,,129.202475,1785472,,,,,N,N,
,,240005_002,,3507,2550,2,,105.9183839,1463705,,,,,N,N,
,,240005_003,,3507,2550,1,,95.23952872,1316132,,,,,N,N,
,,240006_001,,3507,2550,1,,75.83236861,1047941,,,,,N,N,
,,240006_001,,3507,2550,2,,115.93678,1602151,,,,,N,N,
,,240006_002,,3507,2550,1,,71.64731506,990107,,,,,N,N,
,,240006_002,,3507,2550,2,,128.3293406,1773406,,,,,N,N,
,,240006_003,,3507,2550,1,,145.8633068,2015711,,,,,N,N,
,,240015_DOUGFLA_001,,3507,2550,1,,63.16070319,872829,,,,,N,N,
,,240015_DOUGFLA_001,,3507,2550,2,,85.07524833,1175670,,,,,N,N,
,,240015_DOUGFLA_001,,3507,2550,3,,80.85770369,1117387,,,,,N,N,
,,240015_DOUGFLA_02,,3507,2550,1,,77.56901315,1071940,,,,,N,N,
,,240015_DOUGFLA_02,,3507,2550,2,,94.68037824,1308405,,,,,N,N,
,,240025_CONERI_02,,3324,2416,1,,31.26401585,432043,,,,,N,N,
,,240025_CONERI_02,,3324,2416,2,,22.70120553,313712,,,,,N,N,
,,240025_CONERI_02,,3324,2416,3,,24.60168036,339975,,,,,N,N,
,,240025_CONERI_02,,3324,2416,4,,28.52731183,394224,,,,,N,N,
,,240025_CONERI_02,,3324,2416,5,,20.48189842,283043,,,,,N,N,
,,240025_CONERI_02,,3324,2416,6,,28.44981084,393153,,,,,N,N,
,,240025_CONERI_02,,3324,2416,7,,36.22545422,500606,,,,,N,N,
,,240025_CONERI_02,,3324,2416,8,,27.78790461,384006,,,,,N,N,
,,240025_CONERI_02,,3324,2416,9,,38.40308013,530699,,,,,N,N,
,,240027_PROALT_001,,3507,2550,1,,35.36006266,488647,,,,,N,N,
,,240027_PROALT_001,,3507,2550,2,,29.18328427,403289,,,,,N,N,
,,240027_PROALT_001,,3507,2550,3,,40.21483767,555736,,,,,N,N,
,,240027_PROALT_001,,3507,2550,4,,37.11400201,512885,,,,,N,N,
,,240027_PROALT_001,,3507,2550,5,,23.39437266,323291,,,,,N,N,
,,240027_PROALT_001,,3507,2550,6,,37.29758745,515422,,,,,N,N,
,,240027_PROALT_02,,3507,2550,1,,30.85552556,426398,,,,,N,N,
,,240027_PROALT_02,,3507,2550,2,,17.05767159,235723,,,,,N,N,
,,240027_PROALT_02,,3507,2550,3,,19.30722652,266810,,,,,N,Y,HALFLEAF MISSING
,,240027_PROALT_02,,3507,2550,4,,33.46776487,462497,,,,,N,N,
,,240029_001,,3507,2550,1,,104.4811059,1443843,,,,,N,N,
,,240029_001,,3507,2550,2,,102.6832421,1418998,,,,,N,N,
,,240029_INGSP_2902,,3507,2550,1,,127.287021,1759002,,,,,N,N,
,,240029_INGSP_2902,,3507,2550,2,,124.7542365,1724001,,,,,Y,Y,MODERATE HOLE
,,240029_INGSP_2903,,3507,2550,1,,98.755295,1364717,,,,,N,N,
,,240029_INGSP_2903,,3507,2550,2,,122.5511387,1693556,,,,,N,N,
,,240031_001,,3507,2550,1,,27.09307312,374404,,,,,N,N,
,,240031_001,,3507,2550,2,,14.07753775,194540,,,,,N,N,
,,240031_001,,3507,2550,3,,76.79718721,1061274,,,,,Y,Y,MODERATE DAMAGE
,,240031_001,,3507,2550,4,,45.29314262,625914,,,,,N,N,
,,240031_001,,3507,2550,5,,51.44394261,710913,,,,,N,N,
,,240031_002,,3507,2550,1,,71.80166577,992240,,,,,N,Y,MODERATE DAMAGE
,,240031_002,,3507,2550,2,,54.1464912,748260,,,,,Y,N,MODERATE HOLES
,,240032_ASTLEC_02,,3507,2550,1,,35.61268261,492138,,,,,N,N,
,,240032_ASTLEC_02,,3507,2550,2,,22.50719978,311031,,,,,N,N,
,,240032_ASTLEC_02,,3507,2550,3,,17.69454015,244524,,,,,N,N,
,,240032_ASTLEC_02,,3507,2550,4,,28.59627396,395177,,,,,N,N,
,,240032_ASTLEC_02,,3507,2550,5,,40.61131567,561215,,,,,N,N,
,,240032_ASTLEC_02,,3507,2550,6,,36.13362531,499337,,,,,N,N,
,,240032_ASTLEC_03,,3507,2550,1,,39.55184599,546574,,,,,N,N,
,,240032_ASTLEC_03,,3507,2550,2,,40.55320801,560412,,,,,N,N,
,,240032_ASTLEC_03,,3507,2550,3,,33.11629679,457640,,,,,N,N,
,,240032_ASTLEC_03,,3507,2550,4,,41.96472467,579918,,,,,N,N,
,,240032_ASTLEC_04,,3507,2550,1,,40.62846575,561452,,,,,N,N,
