"id","trip","mm","dd","dbh","tnlc","cii","nl","lblade","cd1","cd2","cpa","ldm","sp","dbh0","larea","aldm"
240151,6,7,21,1.18,275,1,7,"simple",160,194,24378.7589918568,3.15,"Guatteria discolor",11,61.913899520115,0.45
220657,7,8,3,1.289,153,1,5,"simple",197,121,18721.536020905,1.68,"Guatteria olivacea",11,57.0926576303757,0.336
202723,10,10,4,1.282,39,1,5,"simple",140,72,7916.81348704628,3.02,"Guatteria poeppigiana",10,78.7846569192799,0.604
100648,8,8,18,2.357,494,2,10,"simple",142,151,16840.5074195681,1.46,"Guatteria sp.2.PFRD",30,31.2214662162508,0.146
202811,10,10,4,2.01,121,1,5,"simple",94,123,9080.7735652013,5.03,"Guatteriopsis blepharophylla",20,122.650435237211,1.006
153720,10,10,7,1.21,21,1.25,4,"simple",95,88,6565.92864600267,4.36,"Gustavia elliptica",12,123.821221224979,1.09
172405,10,10,4,1.499,56,1.25,5,"simple",71,106,5910.9065777292,4.9,"Gustavia elliptica",13,113.697326757719,0.98
173674,10,10,4,1.69,44,1.125,5,"simple",204,81,12977.9192519794,2.54,"Gustavia elliptica",15,91.7860524878121,0.508
220040,7,8,2,1.275,50,1,4,"simple",83,62,4041.65894884327,2.71,"Gustavia elliptica",12,85.5319504122489,0.6775
220041,7,8,2,1.424,153,1,4,"simple",86,84,5673.71633238317,2.65,"Gustavia elliptica",12,67.7115164135417,0.6625
220878,7,8,5,1.771,299,1,9,"simple",169,113,14998.7487264011,2.3,"Gustavia elliptica",16,46.8893300739972,0.255555555555556
230532,6,7,26,1.821,65,1,5,"simple",106,138,11488.8043341779,5.62,"Gustavia elliptica",15,123.597524852207,1.124
113146,9,9,22,1.405,35,1.25,5,"simple",176,50,6911.50383789754,3.14,"Helianthostylis sprucei",14,83.7984717677163,0.628
173638,10,10,4,2.311,224,1,5,"simple",236,171,31695.5282820674,2.43,"Hirtella duckei",23,76.9214346679923,0.486
202703,10,10,4,1.293,63,1,5,"simple",120,70,6597.34457253857,3.13,"Hirtella duckei/myrmecophila.FITO",13,111.476615805636,0.626
100601,8,8,18,1.88,104.5,1,5,"simple",152,121,14445.0430212059,2.6,"Hirtella myrmecophila",17,84.169275298062,0.52
220047,7,8,2,1.016,65,1.25,5,"simple",70,151,8301.65858711103,2.52,"Hirtella myrmecophila",10,68.5554956990449,0.504
220393,7,8,2,1.315,132,1.5,5,"simple",183,125,17965.9829877166,2.26,"Hirtella myrmecophila",18,74.3229877906132,0.452
220609,7,8,3,2.611,512,1,5,"simple",281,181,39946.1359885576,1.76,"Hirtella myrmecophila",24,57.2181933168134,0.352
242543,10,10,5,1.921,18,2,2,"compound",112,60,5277.87565803085,5.19,"Hymenolobium nitidum",12,73.3200707677048,2.595
120340,8,8,16,1.671,4,1,0.5,"compound",119,146,13645.5076908673,3.47,"Indet sp.13.FITO",15,153.382229299881,6.94
230533,6,7,26,1.107,14,1,3,"even-pinnate",117,65,5972.95303263759,3.7,"Inga alba",10,58.9871263131849,1.23333333333333
100600,8,8,18,2.426,53,1,1,"even-pinnate",213,203,33959.8311871423,2.46,"Inga capitata",20,93.7714600091884,2.46
