"id","trip","mm","dd","dbh","tnlc","cii","nl","lblade","ldm","sp","dbh0"
153686,10,10,7,2575,42,1.75,0.5,"compound",146,"Protium hebetatum",22
90703,8,8,20,2040,210,1,1,"odd-pinnate",194,"Protium opacum",28
132948,10,10,7,1914,42,1,2,"compound",375,"Protium paniculatum",14
240783,10,10,5,1209,31.5,1,1,"compound",141,"Protium sp.A.PP",10
100727,8,8,18,1774,9,1.25,0.5,"odd-pinnate",286,"Protium spruceanum",15
113320,9,9,15,3265,60,1,1,"compound",182,"Protium strumosum",29
113425,9,9,15,1691,24,1,1,"compound",270,"Protium strumosum",17
153672,10,10,7,4073,288,1.5,5,"simple",314,"Pseudolmedia laevis",22
172284,10,10,4,3443,782,1.125,10,"simple",267,"Pseudolmedia laevis",23
90802,8,8,20,1883,84,1,5,"simple",287,"Psychotria pacimonica",20
112894,9,9,22,1132,75,1,6,"simple",92,"Psychotria sp.1.FITO",12
113256,9,9,15,2017,112,1,10,"simple",224,"Psychotria sp.3.FITO",21
111651,8,8,17,2091,561,1.5,10,"simple",151,"Psychotria sp.4.FITO",16
132935,10,10,7,2139,912,1,10,"simple",203,"Ptychopetalum olacoides",16
202808,10,10,4,2972,270,1,6,"simple",213,"Qualea sp.A.PP",30
202809,10,10,4,2504,357.5,1,10,"simple",256,"Qualea sp.A.PP",24
100593,8,8,18,1811,23,1,2,"simple",786,"Quiina obovata",16
122753,9,9,14,1439,60,1.5,5,"simple",515,"Quiina paraensis",15
133014,10,10,7,1506,48,1.125,6,"simple",513,"Rhodostemonodaphne aff.scandens.PFRD",11
90851,8,8,20,1938,160,1,5,"simple",92,"Rinorea guianensis",51
113189,9,9,15,2073,80,1.25,5,"simple",510,"Rinorea guianensis",14
112986,9,9,22,2821,294,1,5,"simple",142,"Rinoreocarpus ulei",29
172338,10,10,4,1766,78,1.125,7,"simple",441,"Roucheria punctata",14
153776,10,10,7,2094,286,1,5,"simple",550,"Sacoglottis ceratocarpa",14
173601,10,10,4,1107,59,1.125,5,"simple",335,"Sacoglottis guianensis",11
122751,9,9,15,1699,247,1,10,"simple",183,"Sacoglottis mattogrossensis",15
112901,9,9,22,1938,220,1.25,11,"simple",276,"Sarcaulus brasiliensis",19
111536,8,8,17,2017,16,1,0.5,"even-pinnate",438,"Sclerolobium melanocarpum",13
202588,10,10,4,1600,19,1.25,0.5,"compound",486,"Sclerolobium sp.8.FITO",11
112946,9,9,22,2900,35,1,2,"compound",316,"Sclerolobium sp.A.PP",30
122656,9,9,14,1938,99,1,5,"simple",318,"Scleronema micranthum",15
153758,10,10,7,2454,150,1,6,"simple",350,"Scleronema micranthum",21
170171,10,10,7,2253,176,1.125,6,"simple",357,"Scleronema micranthum",22
172356,10,10,4,2001,120,1.125,6,"simple",277,"Scleronema micranthum",14
172317,10,10,4,1615,418,1,10,"simple",176,"Siparuna cuspidata",13
173610,10,10,4,2297,799,1.125,10,"simple",132,"Siparuna cuspidata",21
202636,10,10,4,1488,525,1.5,10,"simple",198,"Siparuna cuspidata",12
113281,9,9,15,2399,14,1,2,"simple",548,"Siparuna pachyantha",24
122172,10,10,6,1778,120,3.5,6,"simple",386,"Siparuna sarmentosa",12
153871,10,10,7,1231,50,1.125,5,"simple",403,"Siparuna sarmentosa",10
113019,9,9,22,1261,18,1,4,"simple",625,"Sloanea eichleri",11
153815,10,10,7,2099,17,1.125,1,"simple",1233,"Sloanea rufa",15
90698,8,8,20,1371,168,1,10,"simple",167,"Sorocea muriculata",13
240876,10,10,5,1557,5,1.25,1,"bipinnate",486,"Stryphnodendron paniculatum",15
153673,10,10,7,2109,455,1.5,3,"compound",100,"Swartzia cuspidata",14
242391,10,10,5,2247,72,1,3,"compound",262,"Swartzia ingifolia",22
202443,10,10,4,1305,126,1,5,"compound",84,"Swartzia longistipitata",12
173668,10,10,4,1753,34,1,2,"compound",386,"Swartzia polyphylla",10
100713,8,8,17,1268,4.5,1,0.5,"compound",266,"Swartzia reticulata",13
100766,8,8,17,2371,6,1,0.5,"compound",517,"Swartzia reticulata",21
122551,9,9,14,1835,3,1,1,"compound",520,"Swartzia reticulata",19
122731,9,9,14,2750,20,1.5,0.5,"compound",230,"Swartzia reticulata",27
112906,9,9,22,1432,2,1.125,0.5,"compound",711,"Swartzia schomburgkii",13
113291,9,9,15,2915,25.5,1,3,"compound",168,"Swartzia tessmannii",29
113230,9,9,15,1435,2.5,1,1,"compound",271,"Tachigali myrmecophila",14
173709,10,10,4,1902,7,1.25,0.5,"compound",878,"Tachigali myrmecophila",19
142759,10,10,7,1937,8,1,1,"compound",502,"Talisia eximia",19
173585,10,10,4,1635,6.5,1,0.5,"compound",742,"Talisia sp.2.FITO",17
100681,8,8,19,1848,11,1,0.5,"compound",288,"Talisia veraluciana",15
122615,9,9,14,1070,82,1.25,5,"simple",286,"Tapura guianensis",10
113455,9,9,15,2397,16,1.25,4,"simple",636,"Theobroma subincanum",24
172245,10,10,4,2515,70,1.25,5,"simple",659,"Theobroma sylvestre",21
173726,10,10,4,970,39,1,3,"simple",316,"Theobroma sylvestre",10
173759,10,10,4,2939,143,1.5,5,"simple",695,"Theobroma sylvestre",25
122498,9,9,14,2533,10,1,0.5,"compound",374,"Toulicia guianensis/pulvinata PP",22
240858,10,10,5,1893,252,3,6,"simple",404,"Tovomita sp.1.FITO",10
153642,10,10,7,1399,63,1.5,6,"simple",826,"Tovomita sp.2.FITO",11
170160,10,10,7,1318,15,1.125,3,"compound",242,"Trichilia micrantha",12
173649,10,10,4,1385,7,1,1,"compound",299,"Trichilia micropetala",13
113271,9,9,15,1100,5,1,1,"compound",548,"Trichilia rubra",11
120586,8,8,16,2413,35,2,0.5,"compound",372,"Trichilia schomburgkii",18
113317,9,9,15,1619,52,1,5,"simple",309,"Unonopsis duckei",17
122785,9,9,15,1454,65,1,5,"simple",592,"Virola calophylla",12
90829,8,8,19,1395,114,1,5,"simple",202,"Virola venosa",12
133036,10,10,7,2807,1161,1.75,12,"simple",150,"Xylopia benthamii",18
122508,9,9,14,1505,15,1.5,1,"bipinnate",372,"Zygia juruana",10
